iter	Passed	Remaining
0	11	11976
1	19	9875
2	26	8814
3	34	8688
4	41	8301
5	48	7981
6	53	7564
7	56	7017
8	64	7047
9	69	6850
10	78	7060
11	83	6847
12	86	6595
13	95	6691
14	98	6467
15	102	6321
16	109	6358
17	115	6284
18	124	6405
19	128	6315
20	134	6264
21	139	6221
22	145	6201
23	151	6174
24	156	6117
25	160	6018
26	169	6110
27	176	6131
28	186	6233
29	195	6307
30	201	6286
31	210	6381
32	216	6346
33	234	6673
34	252	6963
35	263	7044
36	267	6960
37	272	6904
38	281	6938
39	287	6891
40	291	6822
41	295	6739
42	302	6738
43	309	6721
44	317	6738
45	334	6938
46	339	6879
47	344	6835
48	356	6910
49	366	6959
50	372	6937
51	384	7013
52	393	7026
53	404	7080
54	412	7093
55	428	7220
56	434	7191
57	441	7175
58	457	7291
59	464	7273
60	474	7301
61	479	7252
62	486	7231
63	499	7299
64	512	7378
65	528	7485
66	534	7444
67	544	7458
68	550	7432
69	562	7471
70	579	7576
71	584	7537
72	595	7562
73	603	7546
74	615	7596
75	624	7591
76	629	7551
77	643	7608
78	651	7596
79	663	7632
80	673	7646
81	678	7597
82	688	7608
83	693	7567
84	698	7521
85	706	7510
86	712	7480
87	722	7484
88	725	7430
89	733	7420
90	739	7389
91	748	7390
92	753	7353
93	759	7324
94	769	7334
95	778	7327
96	784	7299
97	796	7333
98	803	7311
99	811	7301
100	816	7266
101	823	7247
102	829	7220
103	833	7183
104	840	7162
105	847	7151
106	852	7113
107	856	7078
108	866	7080
109	871	7047
110	881	7059
111	891	7068
112	895	7031
113	900	6997
114	910	7010
115	915	6975
116	918	6933
117	925	6914
118	929	6879
119	933	6848
120	939	6824
121	946	6812
122	955	6811
123	960	6786
124	971	6799
125	979	6791
126	985	6772
127	995	6779
128	1001	6763
129	1010	6762
130	1018	6753
131	1026	6746
132	1032	6729
133	1038	6711
134	1046	6705
135	1052	6686
136	1057	6661
137	1073	6704
138	1080	6695
139	1085	6666
140	1089	6636
141	1098	6639
142	1103	6614
143	1110	6603
144	1118	6596
145	1132	6626
146	1143	6635
147	1151	6626
148	1157	6611
149	1162	6585
150	1177	6618
151	1182	6599
152	1194	6614
153	1203	6610
154	1211	6607
155	1221	6605
156	1231	6610
157	1235	6584
158	1239	6558
159	1245	6539
160	1250	6517
161	1268	6564
162	1275	6547
163	1283	6542
164	1289	6523
165	1293	6499
166	1305	6509
167	1315	6515
168	1325	6518
169	1333	6512
170	1338	6487
171	1342	6460
172	1347	6439
173	1353	6424
174	1359	6406
175	1364	6390
176	1371	6378
177	1379	6372
178	1388	6370
179	1394	6354
180	1419	6424
181	1426	6411
182	1438	6424
183	1443	6401
184	1456	6416
185	1461	6397
186	1473	6406
187	1489	6433
188	1497	6424
189	1509	6434
190	1514	6414
191	1519	6393
192	1528	6390
193	1531	6363
194	1539	6355
195	1544	6336
196	1549	6314
197	1560	6322
198	1566	6304
199	1576	6307
200	1580	6283
201	1589	6281
202	1594	6258
203	1604	6259
204	1612	6253
205	1617	6235
206	1627	6234
207	1633	6220
208	1644	6222
209	1650	6208
210	1658	6200
211	1664	6188
212	1669	6169
213	1675	6152
214	1680	6136
